Immune	Endothelium	Distal_tubules_and_collecting_duct	Podocytes	Nephron_epithelium	Loop_of_Henle	Mesangial_cells	Proximal_tubular_cells	Group
3.69377573	8.183882950000001	0.0	2.409470803	1.663998065	3.598398377	5.343370632	0.0	Group1
3.553457524	8.442482835	0.016172636	2.703995086	2.173550741	1.895943614	5.326884532	0.0	Group1
3.364974022	8.834866130999998	0.0	2.608639419	1.595156891	1.787920058	4.433779166	0.0	Group1
4.859512391000001	8.584437815000001	0.043073532	1.786060937	1.734625722	2.939941916	5.52635733	0.0	Group1
4.100185046	8.238055527	0.0	2.36347004	1.708877575	3.778034905	5.741384413	0.009749542	Group1
4.5785668379999995	8.182126256	0.0	1.989507956	1.120465693	2.703931002	4.567266699	0.0	Group1
2.9030712419999998	8.1388861	0.0	3.09903115	1.8806467550000001	3.30932208	4.709862987	0.016024899	Group1
2.43349893	9.304195282999999	0.0	2.871783221	1.794628229	3.358409126	4.464189583	0.030850379	Group1
4.094011231	8.367009375	0.0	1.721660136	1.628069778	2.015986308	3.799072402	0.0	Group1
3.008732283	7.930593268000001	0.0	2.094241241	2.4148055619999997	2.476479353	4.593696479	0.038939306	Group1
2.390782417	7.912683944	0.0	3.188409862	1.603385905	1.428482971	5.462947188	0.0	Group1
3.5165482879999996	10.205837642	0.0	3.24920952	1.786613335	2.289848812	5.692101842	0.0	Group1
3.009906244	9.514193351	0.0	3.444476375	2.041114348	2.133899654	6.421045292	0.0	Group1
3.8673835170000004	8.520651312	0.0	3.600577715	1.805299675	3.680572889	7.722506861	0.0	Group1
2.501247014	8.102865296000001	0.0	3.472111142	2.240301256	3.362613671	8.374839223	0.0	Group1
4.107560857	10.394859097000001	0.0	3.242393047	1.239434449	2.504133121	6.820779272	0.0	Group1
4.389968274	8.752049720999999	0.0	3.967743888	1.481993486	4.040471869	7.02482822	0.066263328	Group1
3.648682936	8.481316883	0.06523021	3.250598252	1.964739623	3.671291852	5.870691794	0.064061225	Group1
4.681327101	8.687302581	0.0	2.920232522	2.316132232	4.800217412	7.454064129	0.738236207	Group1
3.263364539	8.239637005999999	0.075109449	1.329823179	1.337438283	3.543065004	5.73733969	0.548568826	Group1
3.2981091690000004	8.875120959	0.0	1.096807986	1.7202722750000001	5.039521931	7.632316451	0.905253421	Group1
5.112381387999999	8.564379008	0.109694193	2.373739603	1.634145308	5.150565057	7.811971946	0.359072003	Group1
3.860512795	10.125633921999999	0.09457668	2.564483521	1.226838419	4.653357888	6.851803511	0.038372115	Group1
2.841090191	5.3520930270000004	0.130130442	2.396668402	0.736731307	3.684347856	4.664706047	0.0	Group1
3.9760222630000004	9.100508611	0.018162785	2.49253949	1.378401643	3.709633618	6.668768189	0.258931872	Group1
3.900604372	8.965905333	0.0	2.54552575	1.834705826	2.597653986	7.416719803	0.0	Group1
3.408263569	8.401016516	0.0	2.242599651	1.287765043	2.71960994	5.867169392	0.0	Group1
4.382291623	11.197899897	0.0	3.42436873	0.781040965	4.187421318	6.075475337	0.0	Group1
3.7775715099999996	8.390451351	0.0	3.058249236	1.504682645	3.963027068	7.242609772	0.434697433	Group1
3.7047827360000003	11.301309799	0.0	3.951260935	0.951122196	3.880285015	7.381331215	0.062376498	Group1
3.3186417689999996	9.352097435	0.0	2.859404894	1.65360399	2.811843802	6.672579046	0.06040744	Group1
3.3626905060000003	10.075591433	0.0	3.995968267	1.378114096	4.536765656	8.215109338	0.126674553	Group1
2.3739577560000003	9.364507828	0.043389302000000005	1.687067015	1.2177090959999999	3.437010444	6.994867121	0.0	Group2
3.6152956170000006	7.070046498	0.0	4.02839539	1.663471125	2.550982827	6.712015152	0.0	Group2
3.447685866	10.550780079	0.0	3.155019893	1.988343078	2.499945547	7.229614275	0.0	Group2
3.4267338520000004	9.825347391	0.0	3.06097219	1.366730042	3.592916257	6.929793043	0.0	Group2
3.533458855	10.906756689	0.0	2.341710814	1.8016080010000002	3.466427345	6.372360328	0.0	Group2
2.400369309	6.563444743	0.0	2.148198109	1.89854563	3.522085825	9.374576657	0.0	Group2
3.4712285670000003	10.476224348999999	0.0	2.285266674	1.748890204	3.268164723	6.794602886	0.038888149	Group2
2.722484514	7.786684162	0.0	5.512347479	1.415959097	3.43219903	7.091234371	0.0	Group2
2.620309323	7.952623173999999	0.0	4.454234424	1.916272429	2.079357543	7.140190595	0.0	Group2
3.291057073	9.208075686	0.0	1.655233546	1.820618376	2.269846572	6.214886314	0.052576278	Group2
3.7368318530000004	8.596133435	0.0	3.030538011	1.056742005	2.365447306	6.977435891	0.0	Group2
2.980939727	7.80077171	0.0	1.382679632	2.0464020830000003	3.017030308	4.894805012	0.166637017	Group2
